id,Model,Version release date,Link,Notes,Hugging Face developer id,Display name,Knowledge cutoff date,Description,Official release,Unique display name,ML Models,ML Models 2,ML Models 3,Model publication date,API prices,API Prices (new),Model aggregation,Model aggregation date,ML Models copy,ML Models copy
claude-2.0,Claude 2,2023-07-11,,"Legacy model
Knowledge cutoff date appears to be ""early 2023"", according to https://web.archive.org/web/20230727145443/https://support.anthropic.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data.",,,,Anthropic's second generation Claude model.,,,,,,2023-07-11,,,,,,Claude 2
claude-2.1,Claude 2.1,2023-11-21,,"Legacy model
Knowledge cutoff date appears to be January 1, 2023, according to https://docsbot.ai/models/claude-2-1.",,,2023-01-01,An updated version in Anthropic's Claude 2 series.,,,,,,2023-11-21,,,,,,Claude 2.1
claude-3-haiku-20240307,Claude 3 Haiku,2024-03-07,,"Knowledge cutoff date is August 1, 2023, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,,2023-08-01,The smallest model in Anthropic's Claude 3 series.,,Claude 3 Haiku,,,,2024-03-04,,"claude-3-haiku-20240307_2026-03-05_Amazon Bedrock,claude-3-haiku-20240307_2026-03-05_Anthropic,claude-3-haiku-20240307_2026-03-05_Google",,,,Claude 3 Haiku
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,2024-06-20,,"Knowledge cutoff date is April 1, 2024, according to https://www.techtarget.com/searchenterpriseai/feature/Claude-AI-vs-ChatGPT-How-do-they-compare.",,Claude 3.5 Sonnet (Jun 2024),2024-04-01,"The first version of the top model in the Claude 3.5 series, a previous flagship model series from Anthropic.",,Claude 3.5 Sonnet (Jun 2024),,,,2024-06-20,,,,,,Claude 3.5 Sonnet
claude-3-5-sonnet-20241022,Claude 3.5 Sonnet (October 2024),2024-10-22,,"Knowledge cutoff date is April 1, 2024, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,Claude 3.5 Sonnet (Oct 2024),2024-04-01,"An updated version of the top model in the Claude 3.5 series, a previous flagship model series from Anthropic.",,Claude 3.5 Sonnet (Oct 2024),,,,2024-10-22,,"claude-3-5-sonnet-20241022_2026-03-05_Amazon Bedrock,claude-3-5-sonnet-20241022_2026-03-05_Amazon Bedrock",,,,Claude 3.5 Sonnet (October 2024)
dbrx-base,DBRX,2024-03-27,https://huggingface.co/databricks/dbrx-base,,databricks,,,,,DBRX (base),,,,2024-03-27,,,,,,DBRX
DeepSeek-Coder-V2-Instruct,DeepSeek-Coder-V2 236B,2024-06-17,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,,deepseek-ai,,,"An instruction-tuned version of DeepSeek Coder V2, a 236 billion-parameter coding-optimized model from DeepSeek.",,DeepSeek-Coder-V2 (instruct),,,,2024-06-17,,,,,,DeepSeek-Coder-V2 236B
gemini-1.5-flash-001,Gemini 1.5 Flash,2024-05-23,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash,"Gemini 1.5 Flash is a fast and versatile multimodal model for scaling across diverse tasks.
Knowledge cutoff date is November 1, 2023, according to https://developer.box.com/guides/box-ai/ai-models/google-gemini-1-5-flash-001-model-card/.",,Gemini 1.5 Flash (May 2024),2023-11-01,The first version of Google DeepMind's Gemini 1.5 Flash.,,,,,,2024-05-10,,,Gemini 1.5 Flash (May 2024),,,Gemini 1.5 Flash
gemini-1.5-flash-002,Gemini 1.5 Flash,2024-09-24,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash,"Gemini 1.5 Flash is a fast and versatile multimodal model for scaling across diverse tasks.
Knowledge cutoff date is May 1, 2024, according to https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/1-5-flash",,,2024-05-01,The second version of Google DeepMind's Gemini 1.5 Flash.,,,,,,2024-05-10,,,Gemini 1.5 Flash (Sep 2024),,,Gemini 1.5 Flash
gemma-2-9b,Gemma 2 9B,,https://huggingface.co/google/gemma-2-9b,,google,,,A 9 billion-parameter open source model from Google DeepMind in the Gemma 2 series.,,,,,,2024-06-24,,,,,,Gemma 2 9B
gemma-2-27b-it,Gemma 2 27B,2024-06-24,https://huggingface.co/google/gemma-2-27b-it,,google,,,An instruction-optimized version of Google DeepMind's Gemma 2 27B.,,,,,,2024-06-24,,gemma-2-27b-it_2026-03-05_NextBit,,,,Gemma 2 27B
glm-4-0520,GLM-4 (0520),2024-05-20,https://bigmodel.cn/pricing,,,,,,,,,,,2024-05-20,,,,,,GLM-4 (0520)
